Date,Value
200601,38.2
200602,40.1
200603,45.3
200604,56.2
200605,65
200606,73
200607,74.6
200608,70.2
200609,60.9
200610,53.6
200611,45.3
200612,34.5
200701,30.8
200702,39.2
200703,47.6
200704,51.6
200705,60
200706,69.8
200707,73.3
200708,73.7
200709,67
200710,56.5
200711,46.1
200712,35
200801,32.5
200802,39.6
200803,44.9
200804,51.6
200805,60.2
200806,71.9
200807,72
200808,71
200809,63.7
200810,54.9
200811,44.6
200812,36.8
200901,37.8
200902,41.8
200903,47.2
200904,51.7
200905,63.6
200906,69
200907,74.8
200908,72.2
200909,63.9
200910,52.5
200911,45.2
200912,31.6
201001,33.6
201002,35.1
201003,43.1
201004,52.7
201005,59.9
201006,72.6
201007,73.3
201008,72.3
201009,68.3
201010,56.7
201011,42
201012,40.4
201101,33.8
201102,35
201103,49.2
201104,55.6
201105,59.6
201106,73.1
201107,76.6
201108,76
201109,66.3
201110,55.3
201111,43.5
201112,31.4
201201,38.6
201202,38.2
201203,47.8
201204,56.6
201205,63.4
201206,74.2
201207,74.4
201208,73.9
201209,66.2
201210,56.1
201211,46.6
201212,36
201301,32
201302,36.1
201303,46.6
201304,52.6
201305,61.6
201306,74.1
201307,73
201308,72.3
201309,66
201310,52.6
201311,42.7
201312,34.5
201401,36.4
201402,41.9
201403,46
201404,52.3
201405,60.1
201406,72.4
201407,74.2
201408,70.5
201409,66.5
201410,57.4
201411,42.4
201412,37.6
201501,35.6
201502,41.4
201503,47.6
201504,52.5
201505,58.3
201506,71.6
201507,73.1
201508,73.4
201509,69
201510,57.5
201511,43.4
201512,35.9
201601,34.3
201602,42
201603,48.3
201604,52.3
201605,59.4
201606,73
201607,76.9
201608,70.1
201609,65.9
201610,59.6
201611,46.6
201612,37.8
201701,37.2
201702,44.5
201703,51.2
201704,53.7
201705,60.1
201706,72.8
201707,74.6
201708,70.8
201709,66.4
201710,56.4
201711,50.2
201712,38.7
201801,37
201802,41.3
201803,47.2
201804,55.1
201805,65.5
201806,74.3
201807,75.1
201808,73
201809,66.9
201810,53.9
201811,41.2
201812,35.6
201901,35.6
201902,38.1
201903,45.6
201904,53.9
201905,58.1
201906,69.4
201907,75.5
201908,75.3
201909,69
201910,52.2
201911,43.5
201912,37.2
202001,37.1
202002,38.5
202003,48
202004,54
202005,65.1
202006,72.5
202007,76.6
202008,76.2
202009,65
202010,56.6
202011,47.5
202012,35
202101,35.1
202102,37.3
202103,44.8
202104,53.2
202105,62.7
202106,73.1
202107,73.3
202108,72.2
202109,68.3
202110,55.6
202111,47.6
202112,42
202201,35.6
202202,35
202203,44.4
202204,55.3
202205,64.8
202206,72.6
202207,76.3
202208,71.9
202209,68
202210,53.9
202211,40.1
202212,37.2
202301,35.4
202302,37
202303,43.9
202304,52
202305,62.3
202306,69.6
202307,78.6
202308,75.1
202309,68.8
202310,57.3
202311,45.3
202312,38.5
202401,34.9
202402,41.6
202403,45.5
202404,53.3
202405,62.4
202406,74.8
202407,74.8
202408,75.2
202409,67.6
202410,60.7
202411,43.4
202412,40.7
202501,30.6
202502,43.6
202503,47.5
202504,53.8
202505,60.7
202506,72.4
202507,73.8
202508,74.4
202509,66.5
202510,58.6
202511,48.8
202512,43.8
202601,36.8
202602,45.5
202603,55.6
